[2026-07-03 10:31:08] [NodeB] [main] [INFO] Starting NodeB on port 7002
NodeB-vnode-0 -> 1321808847
NodeB-vnode-1 -> 1704796036
NodeA-vnode-0 -> 3666113118
NodeA-vnode-1 -> 1566572255
NodeC-vnode-0 -> 725020868
NodeC-vnode-1 -> 2661147323
[2026-07-03 10:31:08] [NodeB] [main] [INFO] HeartbeatManager started (interval=1000ms)
[2026-07-03 10:31:44] [NodeB] [pool-1-thread-41] [INFO] Client connected: /127.0.0.1:47670
[2026-07-03 10:31:44] [NodeB] [pool-1-thread-42] [INFO] Client connected: /127.0.0.1:47680
[2026-07-03 10:31:45] [NodeB] [pool-1-thread-43] [INFO] Client connected: /127.0.0.1:47686
[2026-07-03 10:31:45] [NodeB] [pool-1-thread-44] [INFO] Client connected: /127.0.0.1:47696
[2026-07-03 10:31:45] [NodeB] [pool-1-thread-45] [INFO] Client connected: /127.0.0.1:47704
[2026-07-03 10:31:46] [NodeB] [pool-1-thread-46] [INFO] Client connected: /127.0.0.1:47720
[2026-07-03 10:31:46] [NodeB] [pool-1-thread-47] [INFO] Client connected: /127.0.0.1:47728
[2026-07-03 10:31:47] [NodeB] [pool-1-thread-48] [INFO] Client connected: /127.0.0.1:47744
[2026-07-03 10:31:47] [NodeB] [pool-1-thread-49] [INFO] Client connected: /127.0.0.1:47752
[2026-07-03 10:31:47] [NodeB] [pool-1-thread-50] [INFO] Client connected: /127.0.0.1:47756
[2026-07-03 10:31:48] [NodeB] [pool-1-thread-1] [INFO] Client connected: /127.0.0.1:47772
[2026-07-03 10:31:48] [NodeB] [pool-1-thread-2] [INFO] Client connected: /127.0.0.1:47782
[2026-07-03 10:31:49] [NodeB] [pool-1-thread-3] [INFO] Client connected: /127.0.0.1:47790
[2026-07-03 10:31:49] [NodeB] [pool-1-thread-4] [INFO] Client connected: /127.0.0.1:47804
[2026-07-03 10:31:50] [NodeB] [pool-1-thread-5] [INFO] Client connected: /127.0.0.1:47806
[2026-07-03 10:31:50] [NodeB] [pool-1-thread-6] [INFO] Client connected: /127.0.0.1:47808
[2026-07-03 10:31:51] [NodeB] [pool-1-thread-7] [INFO] Client connected: /127.0.0.1:47812
[2026-07-03 10:31:51] [NodeB] [pool-1-thread-8] [INFO] Client connected: /127.0.0.1:47820
[2026-07-03 10:31:52] [NodeB] [pool-1-thread-9] [INFO] Client connected: /127.0.0.1:47834
[2026-07-03 10:31:52] [NodeB] [pool-1-thread-10] [INFO] Client connected: /127.0.0.1:47850
[2026-07-03 10:31:53] [NodeB] [pool-1-thread-11] [INFO] Client connected: /127.0.0.1:47864
