[2026-07-03 10:31:08] [NodeC] [main] [INFO] Starting NodeC on port 7003
NodeC-vnode-0 -> 725020868
NodeC-vnode-1 -> 2661147323
NodeA-vnode-0 -> 3666113118
NodeA-vnode-1 -> 1566572255
NodeB-vnode-0 -> 1321808847
NodeB-vnode-1 -> 1704796036
[2026-07-03 10:31:08] [NodeC] [main] [INFO] HeartbeatManager started (interval=1000ms)
[2026-07-03 10:32:41] [NodeC] [pool-1-thread-8] [INFO] Client connected: /127.0.0.1:51460
[2026-07-03 10:32:42] [NodeC] [pool-1-thread-9] [INFO] Client connected: /127.0.0.1:51476
[2026-07-03 10:32:42] [NodeC] [pool-1-thread-10] [INFO] Client connected: /127.0.0.1:51478
[2026-07-03 10:32:43] [NodeC] [pool-1-thread-11] [INFO] Client connected: /127.0.0.1:51494
[2026-07-03 10:32:43] [NodeC] [pool-1-thread-12] [INFO] Client connected: /127.0.0.1:51504
[2026-07-03 10:32:44] [NodeC] [pool-1-thread-13] [INFO] Client connected: /127.0.0.1:57010
[2026-07-03 10:32:44] [NodeC] [pool-1-thread-14] [INFO] Client connected: /127.0.0.1:57018
[2026-07-03 10:32:45] [NodeC] [pool-1-thread-15] [INFO] Client connected: /127.0.0.1:57020
[2026-07-03 10:32:45] [NodeC] [pool-1-thread-16] [INFO] Client connected: /127.0.0.1:57028
[2026-07-03 10:32:46] [NodeC] [pool-1-thread-17] [INFO] Client connected: /127.0.0.1:57036
[2026-07-03 10:32:46] [NodeC] [pool-1-thread-18] [INFO] Client connected: /127.0.0.1:57040
[2026-07-03 10:32:47] [NodeC] [pool-1-thread-19] [INFO] Client connected: /127.0.0.1:57044
[2026-07-03 10:32:47] [NodeC] [pool-1-thread-20] [INFO] Client connected: /127.0.0.1:57060
[2026-07-03 10:32:48] [NodeC] [pool-1-thread-21] [INFO] Client connected: /127.0.0.1:57072
[2026-07-03 10:32:48] [NodeC] [pool-1-thread-22] [INFO] Client connected: /127.0.0.1:57078
[2026-07-03 10:32:49] [NodeC] [pool-1-thread-23] [INFO] Client connected: /127.0.0.1:57080
[2026-07-03 10:32:49] [NodeC] [pool-1-thread-24] [INFO] Client connected: /127.0.0.1:57082
[2026-07-03 10:32:50] [NodeC] [pool-1-thread-25] [INFO] Client connected: /127.0.0.1:57094
