[2026-07-03 10:31:07] [NodeA] [main] [INFO] Starting NodeA on port 7001
NodeA-vnode-0 -> 3666113118
NodeA-vnode-1 -> 1566572255
NodeB-vnode-0 -> 1321808847
NodeB-vnode-1 -> 1704796036
NodeC-vnode-0 -> 725020868
NodeC-vnode-1 -> 2661147323
[2026-07-03 10:31:07] [NodeA] [main] [INFO] HeartbeatManager started (interval=1000ms)
[2026-07-03 10:31:48] [NodeA] [pool-1-thread-6] [INFO] Client connected: /127.0.0.1:38916
[2026-07-03 10:31:48] [NodeA] [pool-1-thread-7] [INFO] Client connected: /127.0.0.1:38918
[2026-07-03 10:31:49] [NodeA] [pool-1-thread-8] [INFO] Client connected: /127.0.0.1:38920
[2026-07-03 10:31:49] [NodeA] [pool-1-thread-9] [INFO] Client connected: /127.0.0.1:38928
[2026-07-03 10:31:50] [NodeA] [pool-1-thread-10] [INFO] Client connected: /127.0.0.1:38938
[2026-07-03 10:31:50] [NodeA] [pool-1-thread-11] [INFO] Client connected: /127.0.0.1:38948
[2026-07-03 10:31:51] [NodeA] [pool-1-thread-12] [INFO] Client connected: /127.0.0.1:38950
[2026-07-03 10:31:51] [NodeA] [pool-1-thread-13] [INFO] Client connected: /127.0.0.1:38962
[2026-07-03 10:31:52] [NodeA] [pool-1-thread-14] [INFO] Client connected: /127.0.0.1:38964
[2026-07-03 10:31:52] [NodeA] [pool-1-thread-15] [INFO] Client connected: /127.0.0.1:38978
[2026-07-03 10:31:53] [NodeA] [pool-1-thread-16] [INFO] Client connected: /127.0.0.1:38982
[2026-07-03 10:31:53] [NodeA] [pool-1-thread-17] [INFO] Client connected: /127.0.0.1:38994
[2026-07-03 10:31:54] [NodeA] [pool-1-thread-18] [INFO] Client connected: /127.0.0.1:37396
[2026-07-03 10:31:54] [NodeA] [pool-1-thread-19] [INFO] Client connected: /127.0.0.1:37408
[2026-07-03 10:31:55] [NodeA] [pool-1-thread-20] [INFO] Client connected: /127.0.0.1:37420
[2026-07-03 10:31:55] [NodeA] [pool-1-thread-21] [INFO] Client connected: /127.0.0.1:37426
[2026-07-03 10:31:56] [NodeA] [pool-1-thread-22] [INFO] Client connected: /127.0.0.1:37430
[2026-07-03 10:31:56] [NodeA] [pool-1-thread-23] [INFO] Client connected: /127.0.0.1:37434
[2026-07-03 10:31:57] [NodeA] [pool-1-thread-24] [INFO] Client connected: /127.0.0.1:37444
[2026-07-03 10:31:57] [NodeA] [pool-1-thread-25] [INFO] Client connected: /127.0.0.1:37458
